Date,Startup Name,Vertical,Sub-Vertical,City,Type,Amount (in USD),Remarks
2/1/2015,LensKart,,,,Private Equity,2150000,
2/1/2015,VioletStreet,,,,Seed Funding,315000,
5/1/2015,Lookup,,,,Seed Funding,380000,
5/1/2015,#Fame,,,,Private Equity,10000000,
6/1/2015,Near.in,,,,Seed Funding,285000,
6/1/2015,Purplle.com,,,,Private Equity,N/A,
6/1/2015,NumberMall,,,,Private Equity,10000000,
6/1/2015,Tookitaki,,,,Private Equity,1000000,
6/1/2015,Frankly,,,,Seed Funding,600000,
7/1/2015,Faircent,,,,Seed Funding,N/A,Valuation at $4M
7/1/2015,Nurturey,,,,Crowd funding,125000,
7/1/2015,Bewakoof,,,,Seed Funding,N/A,
7/1/2015,Stridalyzer,,,,Crowd Funding,30768,
7/1/2015,Commonfloor,,,,Private Equity,5000000,3rd Round
9/1/2015,Sokrati,,,,Private Equity,N/A,Series B
9/1/2015,YepMe,,,,Private Equity,13000000,Series A
9/1/2015,TapCibo,,,,Seed Funding,N/A,
12/1/2015,Verayu,,,,Private Equity,N/A,
12/1/2015,MyDreamStore,,,,Seed Funding,290000,
13/01/2015,AppVirality,,,,Seed Funding,N/A,
14/01/2015,RateGain,,,,Private Equity,50000000,
15/01/2015,Wishberry,,,,Seed Funding,650000,
16/01/2015,eKincare,,,,Seed Funding,161000,
18/01/2015,ShopClues,,,,Private Equity,100000000,More Details
19/01/2015,Refiral,,,,Seed Funding,330000,
19/01/2015,Ping Digital,,,,Seed Funding,N/A,
19/01/2015,HealthyWorld.in,,,,Seed Funding,200000,
19/01/2015,Hostel Dunia,,,,Seed Funding,16000,
19/01/2015,Play your sport,,,,Seed Funding,16000,
19/01/2015,Yo Grad,,,,Seed Funding,16000,
19/01/2015,Enabli,,,,Seed Funding,16000,
19/01/2015,CBS,,,,Seed Funding,16000,
20/01/2015,Hopscotch,,,,Private Equity,11000000,
20/01/2015,Amagi Media Labs,,,,Private Equity,N/A,
20/01/2015,HealthyWorld.in,,,,Seed Funding,200000,
21/01/2015,Simplilearn,,,,Private Equity,14750000,
21/01/2015,MyDreamStore,,,,Seed Funding,325000,
21/05/2015,Knit,,,,Seed Funding,N/A,
21/05/2015,Villgro,,,,Seed Funding,3250000,To fund edu startups
22/01/2015,Corporate360,,,,Seed Funding,200000,
22/01/2015,Freshmonk,,,,Seed Funding,N/A,
22/01/2015,Englishleap.com,,,,Private Equity,N/A,Majority Stake
22/01/2015,Antuit,,,,Private Equity,56000000,
22/01/2015,Caratlane.com,,,,Private Equity,31000000,Series D
